time,high,low,open,close
1613060700,47971.2,47927.12,47954.77,47939.69
1613060760,47961.2,47916.69,47939.69,47925.12
1613060820,47925.17,47807.51,47925.12,47807.57
1613060880,47824.37,47742.56,47807.57,47747.2
1613060940,47798.86,47734.34,47747.2,47798.02
1613061000,47845.8,47776.92,47798.02,47785.5
1613061060,47790.09,47675.85,47785.5,47681.84
1613061120,47681.84,47572.88,47681.84,47626.7
1613061180,47653.56,47609.75,47626.7,47652.72
1613061240,47683.42,47636.07,47652.72,47661.83
1613061300,47735.0,47661.83,47661.83,47710.32
1613061360,47712.27,47661.14,47710.32,47666.94
1613061420,47671.14,47370.63,47666.94,47548.04
1613061480,47583.96,47541.41,47548.04,47562.49
1613061540,47590.14,47552.89,47562.49,47568.2
1613061600,47591.51,47568.2,47568.2,47580.63
1613061660,47588.21,47533.54,47580.63,47544.81
1613061720,47583.88,47538.68,47544.81,47552.84
1613061780,47588.3,47552.63,47552.84,47587.38
1613061840,47595.37,47563.0,47587.38,47589.12
1613061900,47595.33,47557.88,47589.12,47586.78
1613061960,47592.9,47564.97,47586.78,47574.99
1613062020,47584.5,47557.49,47574.99,47561.08
1613062080,47569.61,47460.54,47561.08,47495.41
1613062140,47600.38,47463.36,47495.41,47592.83
1613062200,47726.55,47590.18,47592.83,47701.08
1613062260,47730.54,47622.29,47701.08,47663.11
1613062320,47663.11,47635.46,47663.11,47638.96
1613062380,47648.69,47600.64,47638.96,47637.56
1613062440,47694.11,47618.9,47637.56,47688.33
1613062500,47715.77,47687.13,47688.33,47715.77
1613062560,47744.23,47695.63,47715.77,47719.44
1613062620,47733.69,47685.33,47719.44,47686.91
1613062680,47710.9,47628.67,47686.91,47654.54
1613062740,47684.77,47648.98,47654.54,47648.98
1613062800,47688.21,47613.02,47648.98,47686.87
1613062860,47687.88,47631.27,47686.87,47642.12
1613062920,47644.14,47615.13,47642.12,47629.55
1613062980,47643.34,47624.09,47629.55,47631.52
1613063040,47656.95,47631.52,47631.52,47647.02
